Created Time(ms),Timestamp(ms),Type,Sensor ID,Projection String,Object ID,Position X(m),Position Y(m),Position Z(m)
1709851196311,3200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.672,-8.921,-9.503
1709851196527,3300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.486,-8.703,-10.016
1709851196628,3400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.171,-8.686,-9.717
1709851196736,3500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.914,-8.985,-9.905
1709851196836,3600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.221,-8.8,-9.813
1709851196973,3700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.819,-8.759,-10.229
1709851197080,3800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.389,-8.624,-9.888
1709851197181,3900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.701,-8.647,-9.804
1709851197285,4000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.707,-8.796,-9.547
1709851197388,4100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.592,-8.646,-10.2
1709851197589,4200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.416,-8.581,-9.877
1709851197692,4300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-49.19,-9.035,-9.802
1709851197795,4400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.314,-8.975,-10.049
1709851197896,4500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.721,-8.753,-10.311
1709851198003,4600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.379,-9.088,-9.772
1709851198103,4700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.493,-8.977,-9.658
1709851198227,4800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.253,-8.707,-9.824
1709851198345,4900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.862,-8.45,-10.464
1709851198455,5000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.491,-8.701,-9.813
1709851198558,5100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.266,-8.62,-9.543
1709851198689,5200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.87,-8.607,-9.583
1709851198804,5300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-49.006,-9.086,-9.761
1709851198927,5400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.436,-8.919,-9.595
1709851199047,5500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.612,-8.757,-10.056
1709851199277,5600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.734,-9.036,-9.394
1709851199377,5700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.761,-8.656,-9.691
1709851199477,5800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.58,-8.858,-10.064
1709851199580,5900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.603,-8.659,-9.877
1709851199678,6000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.708,-8.615,-9.797
1709851199784,6100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.514,-8.679,-10.034
1709851199900,6200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.472,-9.048,-9.634
1709851200013,6300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.605,-8.812,-9.582
1709851200166,6400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.376,-8.776,-9.707
1709851200270,6500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.358,-8.865,-9.926
1709851200371,6600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.379,-8.856,-9.837
1709851200471,6700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.662,-8.581,-9.928
1709851200571,6800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.304,-8.789,-9.935
1709851200671,6900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.922,-8.838,-9.827
1709851200771,7000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.985,-8.863,-9.81
1709851200871,7100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.511,-8.713,-9.589
1709851200970,7200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.007,-8.941,-9.383
1709851201110,7300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.194,-8.912,-9.677
1709851201213,7400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.628,-8.608,-9.371
1709851201328,7500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.575,-8.398,-9.67
1709851201448,7600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.581,-9.032,-9.953
1709851201551,7700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.747,-9.071,-9.654
1709851201657,7800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.526,-8.695,-9.392
1709851201763,7900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.528,-8.816,-9.287
1709851201863,8000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.174,-8.875,-9.922
1709851201963,8100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.104,-8.807,-9.57
1709851202063,8200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.682,-8.919,-9.961
1709851202239,8300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.717,-8.963,-9.775
1709851202339,8400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.556,-8.657,-9.523
1709851202440,8500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.706,-8.706,-10.26
1709851202539,8600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.461,-8.518,-9.726
1709851202674,8700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.579,-8.701,-9.696
1709851202785,8800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.391,-8.634,-9.89
1709851202894,8900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.582,-8.721,-9.641
1709851203048,9000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.695,-8.557,-10.186
1709851203160,9100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.263,-8.708,-9.37
1709851203286,9200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.74,-8.609,-9.526
1709851203406,9300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.53,-8.637,-9.739
1709851203530,9400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.281,-8.789,-10.052
1709851203778,9500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.308,-8.708,-9.833
1709851205265,9600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.375,-8.867,-9.641
1709851205307,9600,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.462,0.854,-8.784
1709851205309,9600,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-24.245,-4.657,-9.764
1709851205310,9600,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-17.855,-4.556,-9.843
1709851205310,9600,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-11.988,-3.247,-9.888
1709851205457,9700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.236,-8.757,-9.765
1709851205503,9700,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.19,0.666,-8.825
1709851205504,9700,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-24.363,-4.684,-9.98
1709851205505,9700,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-18.113,-4.713,-10.034
1709851205506,9700,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-11.899,-2.862,-10.062
1709851205577,9800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.515,-8.924,-9.98
1709851205619,9800,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.637,0.602,-8.749
1709851205620,9800,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-24.114,-4.77,-9.763
1709851205621,9800,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-18.138,-4.557,-9.781
1709851205621,9800,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-11.961,-3.07,-9.821
1709851205712,9900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.388,-8.76,-9.457
1709851205759,9900,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.565,1.484,-9.115
1709851205760,9900,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-23.676,-5.07,-9.647
1709851205761,9900,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-17.839,-4.706,-9.867
1709851205761,9900,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-12.08,-3.056,-9.879
1709851205827,10000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.445,-8.879,-9.954
1709851205867,10000,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.274,1.373,-8.799
1709851205868,10000,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-24.451,-4.647,-9.465
1709851205869,10000,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-18.189,-4.49,-9.945
1709851205870,10000,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-11.954,-3.159,-10.223
1709851205942,10100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.713,-8.264,-9.878
1709851205983,10100,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.259,0.657,-8.787
1709851205984,10100,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-23.979,-4.485,-9.993
1709851205985,10100,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-18.018,-4.616,-10.355
1709851205985,10100,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-11.857,-2.881,-9.868
1709851206050,10200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.712,-8.641,-9.866
1709851206091,10200,PEDESTRIAN,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,221,-13.412,1.035,-8.767
1709851206092,10200,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,222,-23.781,-4.385,-9.859
1709851206093,10200,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,223,-18.219,-4.366,-9.674
1709851206107,10200,TRUCK,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,224,-12.002,-3.242,-9.731
1709851206268,10300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.486,-8.674,-10.02
